['Firmenname' 'Alexandre Ulm Gaststättenbetriebs- GmbH'],['Adresse' 'Marktplatz 1'],['PLZ' '89073'],['Ort' 'Ulm'],['Bundesland' 'Baden-Württemberg'],['Telefon' '+49 731 6027490'],['Fax' '+49 731 66131']
['Firmenname' 'Apart Business Hotel GmbH Airpot Hotel Filderpost'],['Adresse' 'Scharnhauser Str. 4'],['PLZ' '70599'],['Ort' 'Stuttgart'],['Bundesland' 'Baden-Württemberg'],['Telefon' '+49 711 45010'],['Fax' '+49 711 450110'],['Produkte/Infos' 'Drei-Sterne-Hotel']
['Firmenname' 'Gronauer Tannenhof Hotel-Restaurant-Cafe GmbH & Co. KG'],['Adresse' 'Robert-Schuman-Str. 2'],['PLZ' '51469'],['Ort' 'Bergisch Gladbach'],['Bundesland' 'Nordrhein-Westfalen'],['Telefon' '+49 2202 94140'],['Fax' '+49 2202 941444'],['E-Mail' 'service@gronauer-tannenhof.de'],['Homepage' 'http://www.gronauer-tannenhof.de']
['Firmenname' 'Hotel Admiralsholm'],['Adresse' 'Schweizer Str. 60'],['PLZ' '23714'],['Ort' 'Malente'],['Bundesland' 'Schleswig-Holstein'],['Telefon' '+49 4523 40030'],['Fax' '+49 4523 400331']
['Firmenname' 'Hotel am Borsigturm Betriebs GmbH'],['Adresse' 'Am Borsigturm 1'],['PLZ' '13507'],['Ort' 'Berlin'],['Bundesland' 'Berlin'],['Telefon' '+49 30 43036000'],['Fax' '+49 030']
['Firmenname' 'Hotel Erika'],['Adresse' 'Rosengartenstr. 5'],['PLZ' '66482'],['Ort' 'Zweibrücken'],['Bundesland' 'Rheinland-Pfalz'],['Telefon' '+49 6332 75882'],['Fax' '+49 6332 75875']
"['Firmenname'
 'Hotel und Gasthaus Seelust Waltraud Bier Christiane Killinger oHG']",['Adresse' 'Badestrand 4'],['PLZ' '19399'],['Ort' 'Goldberg'],['Bundesland' 'Mecklenburg-Vorpommern'],['Telefon' '+49 38736 8230'],['Fax' '+49 38736 7158']
['Firmenname' 'Sayntal Gastronomiebetriebsgesellschaft mbH & Co. KG'],['Adresse' 'Koblenz-Olper-Str. 111'],['PLZ' '56170'],['Ort' 'Bendorf'],['Bundesland' 'Rheinland-Pfalz'],['Telefon' '+49 2622 94490'],['Fax' '+49 2622 944944']
['Firmenname' 'Telgter Hof'],['Adresse' 'Münsterstr. 29'],['PLZ' '48291'],['Ort' 'Telgte'],['Bundesland' 'Nordrhein-Westfalen'],['Telefon' '+49 2504 93170'],['Fax' '+49 2504 931770']
['Firmenname' 'Zamberk & Leslau oHG'],['Adresse' 'Ursulaplatz 9-11'],['PLZ' '50668'],['Ort' 'Köln'],['Bundesland' 'Nordrhein-Westfalen'],['Telefon' '+49 221 138533'],['Fax' '+49 0221']
