"['Firmenname' 'Beck Kantinenbetriebsgesellschaft mbH, Friedrich']",['Adresse' 'Hamburger Str. 41'],['PLZ' '22083'],['Ort' 'Hamburg'],['Bundesland' 'Hamburg'],['Telefon' '+49 40 2299363'],['Fax' '+49 040'],,,nein
['Firmenname' 'Dahl'],['Adresse' 'Heideweg 9'],['PLZ' '53343'],['Ort' 'Wachtberg'],['Bundesland' 'Nordrhein-Westfalen'],['Telefon' '+49 228 341071'],['Fax' '+49 228 345001'],,,nein
['Firmenname' 'Event Hotel AG'],['Adresse' 'Massenbergstr. 19-21'],['PLZ' '44787'],['Ort' 'Bochum'],['Bundesland' 'Nordrhein-Westfalen'],['Telefon' '+49 234 9690'],['Fax' '+49 234 9692222'],['Homepage' 'http://www.eventhotels.com'],,nein
['Firmenname' 'Hotel Am Pferdemarkt GmbH'],['Adresse' 'Am Pferdemarkt 3'],['PLZ' '27356'],['Ort' 'Rotenburg'],['Bundesland' 'Niedersachsen'],['Telefon' '+49 4261 94070'],['Fax' '+49 4261 940755'],['E-Mail' 'info@hotelampferdemarkt.de'],['Homepage' 'http://www.hotelampferdemarkt.de'],ja
['Firmenname' 'Hotel Landhaus GmbH'],['Adresse' 'Itzehoer Str. 39'],['PLZ' '24594'],['Ort' 'Hohenwestedt'],['Bundesland' 'Schleswig-Holstein'],['Telefon' '+49 4871 76110'],['Fax' '+49 4871 3189'],,,nein
['Firmenname' 'Hotel Lippischer Hof Peter Walter GmbH & Co. KG'],['Adresse' 'Mauerstr. 1 a'],['PLZ' '32105'],['Ort' 'Bad Salzuflen'],['Bundesland' 'Nordrhein-Westfalen'],['Telefon' '+49 5222 5340'],['Fax' '+49 5222 50571'],['E-Mail' 'lippischerhof@hof-hotels.de'],['Homepage' 'http://www.hof-hotels.de'],nein
['Firmenname' 'Landhaus Midas'],['Adresse' 'Setzbergstr. 12'],['PLZ' '83707'],['Ort' 'Bad Wiessee'],['Bundesland' 'Bayern'],['Telefon' '+49 8022 81150'],['Fax' '+49 8022 99577'],,,ja
['Firmenname' 'Parkhotel'],['Adresse' 'Rudolf-Breitscheid-Str. 15'],['PLZ' '90762'],['Ort' 'Fürth'],['Bundesland' 'Bayern'],['Telefon' '+49 911 776666'],['Fax' '+49 0911'],,,nein
['Firmenname' 'Waldhotel Tannenhäuschen Familie Hetzel oHG'],['Adresse' 'Am Tannenhäuschen 7'],['PLZ' '46487'],['Ort' 'Wesel'],['Bundesland' 'Nordrhein-Westfalen'],['Telefon' '+49 281 96690'],['Fax' '+49 281 64153'],,,nein
['Firmenname' 'Wasserburg zu Gommern GmbH'],['Adresse' 'Walther-Rathenau-Strasse 9-10'],['PLZ' '39245'],['Ort' 'Gommern'],['Bundesland' 'Sachsen-Anhalt'],['Telefon' '+49 39200 78850'],['Fax' '+49 39200 788599'],,,ja
